Year,State,Continuum of Care (CoC),HUD CoC Number,"2015 CoC Award Amount
($0 indicates that an application was not submitted)",AHAR Part 1 CoC Category,Total Non-DV Beds on 2016 HIC ES+TH,Total Non-DV HMIS Beds on 2016 HIC ES+TH,2015 Bed coverage Percent on HMIS for ES-TH Combined,ES-SH Avg (Days),ES-SH Median (Days),ES-SH-TH Avg (Days),ES-SH-TH Median (Days),Total Persons Exited (SO+ES+TH+SH+PH),Total Persons Returns in 6 mths,Total Persons Returns in 12 mths (should include the 6-month cohort),Total Persons Returns in 24 mths (should include both the 6- and 12-month cohort),Percent Returns in 6 mths,Percent Returns in 12 mths (should include the 6-month cohort),Percent Returns in 24 mths (should include both the 6- and 12-month cohort),Total HMIS Count,Total Stayers (persons),Total Stayers increased earned income,Percent Stayers increased earned income,Total Stayers increased non-employment cash income,Percent Stayers increased non-employment cash income,Total Stayers increased total income,Percent Stayers increased total income,Total Leavers (persons),Total Leavers increased earned income,Percent Leavers increased earned income,Total Leavers increased non-employment cash income,Percent Leavers increased non-employment cash income,Total Leavers increased total income,Percent Leavers increased total income,ES-SH-TH 1st Time Homeless,ES-SH-TH-PH 1st Time Homeless,Total Persons Exiting Street Outreach,Total Persons Exited to Temporary Housing,Total Persons Exited to Permanent Housing,Percent with Successful SO Outcome,"Total Persons Exiting ES, TH, SH, PH-RRH","Total Persons Exiting ES, TH, SH, PH-RRH to Permanent Housing",Percent with Successful Exit,Total Persons Exiting PH (but not including PH-RRH),Total Persons Exiting PH (but not including PH-RRH) Residing in PH for 6mos or more or exiting to Permanent Housing,Percent with Successful Retention or Exit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,CA,Oakland/Alameda County CoC,CA-502,28980863,Major Cities,1531,1256,0.820378837,85,53,170,96,1966,180,268,373,9.16E-02,0.136317396,0.189725331,3759,1317,39,2.96E-02,218,0.165527715,236,0.17919514,767,125,0.162972621,184,0.239895698,289,0.376792699,2052,3154,599,100,138,0.397328881,3183,1663,0.522463085,2474,2349,0.949474535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,CA,Sacramento City & County CoC,CA-503,19138664,Major Cities,1474,1254,0.850746269,64,35,130,61,2280,178,223,277,7.81E-02,9.78E-02,0.121491228,4737,851,26,3.06E-02,63,7.40E-02,87,0.102232667,389,110,0.28277635,122,0.313624679,218,0.560411311,3123,3640,208,24,154,0.855769231,4023,2479,0.616206811,2486,2375,0.95534996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,CA,Santa Rosa/Petaluma/Sonoma County CoC,CA-504,3087262,"Smaller Cities, Counties, and Regional CoCs",991,749,0.75580222,89,62,133,82,751,90,153,218,0.119840213,0.203728362,0.290279627,2626,578,4,6.92E-03,9,1.56E-02,13,2.25E-02,32,8,0.25,12,0.375,18,0.5625,1049,1262,0,0,0,NA,2356,844,0.358234295,687,629,0.915574964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,CA,Richmond/Contra Costa County CoC,CA-505,11104352,"Smaller Cities, Counties, and Regional CoCs",831,473,0.569193742,103,72,159,99,1212,100,146,194,8.25E-02,0.120462046,0.160066007,1766,460,14,3.04E-02,108,0.234782609,117,0.254347826,160,34,0.2125,64,0.4,91,0.56875,1195,1922,1136,334,7,0.300176056,1972,923,0.468052738,929,902,0.970936491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,CA,"Salinas/Monterey, San Benito Counties CoC",CA-506,1972200,"Smaller Cities, Counties, and Regional CoCs",837,674,0.80525687,62,46,191,109,487,23,38,67,4.72E-02,7.80E-02,0.137577002,1421,137,13,9.49E-02,6,4.38E-02,17,0.124087591,151,39,0.258278146,41,0.271523179,71,0.470198675,849,1086,444,76,27,0.231981982,1090,588,0.539449541,160,139,0.86875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,CA,Marin County CoC,CA-507,3264434,"Smaller Cities, Counties, and Regional CoCs",338,319,0.943786982,160,64,253,127,226,41,62,75,0.181415929,0.274336283,0.331858407,851,70,8,0.114285714,21,0.3,24,0.342857143,22,5,0.227272727,9,0.409090909,11,0.5,471,713,0,0,0,NA,304,188,0.618421053,354,340,0.960451977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,CA,Watsonville/Santa Cruz City & County CoC,CA-508,2261790,"Smaller Cities, Counties, and Regional CoCs",582,526,0.903780069,98,57,162,80,305,8,25,42,2.62E-02,8.20E-02,0.137704918,1386,132,0,0,0,0,0,0,53,12,0.226415094,15,0.283018868,15,0.283018868,713,976,0,0,0,NA,1175,413,0.351489362,119,105,0.882352941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,CA,Mendocino County CoC,CA-509,1776020,"Smaller Cities, Counties, and Regional CoCs",100,67,0.67,40,19,76,27,159,26,37,49,0.163522013,0.232704403,0.308176101,503,120,5,4.17E-02,35,0.291666667,34,0.283333333,41,2,4.88E-02,5,0.12195122,7,0.170731707,350,425,0,0,0,NA,459,82,0.178649237,393,369,0.938931298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,CA,Turlock/Modesto/Stanislaus County CoC,CA-510,2963830,"Smaller Cities, Counties, and Regional CoCs",545,520,0.95412844,64,16,79,16,409,23,35,52,5.62E-02,8.56E-02,0.127139364,3224,201,9,4.48E-02,81,0.402985075,84,0.417910448,84,24,0.285714286,20,0.238095238,43,0.511904762,2157,2284,0,0,0,NA,2951,650,0.220264317,393,383,0.974554707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,CA,Stockton/San Joaquin County CoC,CA-511,4180278,"Smaller Cities, Counties, and Regional CoCs",1431,1317,0.92033543,57,20,103,30,193,12,19,31,6.22E-02,9.84E-02,0.160621762,4411,296,0,0,2,6.76E-03,2,6.76E-03,98,23,0.234693878,42,0.428571429,55,0.56122449,2730,2871,486,62,43,0.216049383,3333,655,0.196519652,461,448,0.971800434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
